first_name,last_name,email,outcome,amount_left_reach_goal_amount
Marcelino,Haber,mhaber@gmail.com,live,153288.00
Lars,Rose,lrose@live.com,live,153288.00
Wilfreda,Achilles,wachilles@yahoo.com,live,153288.00
Lilou,Savage,lsavage@yahoo.com,live,153288.00
Valentine,Pohl,vpohl@live.com,live,153288.00
Andreas,Rigal,arigal@yahoo.com,live,153288.00
Kunigunde,Lawrence,klawrence@protonmail.com,live,153288.00
Daniela,Kirkland,dkirkland@outlook.com,live,153288.00
Nathanael,Stein,nstein@outlook.com,live,153288.00
Ilario,Pages,ipages@yahoo.com,live,153288.00
Zanipolo,Anthony,zanthony@gmail.com,live,153288.00
Hong,Hinrichs,hhinrichs@protonmail.com,live,153288.00
Heini,Cauchon,hcauchon@yahoo.com,live,153288.00
Marine,Verona,mverona@live.com,live,153288.00
Chayma,Verreault,cverreault@outlook.com,live,153288.00
Guadalupe,Pannone,gpannone@outlook.com,live,153288.00
Othello,Roach,oroach@protonmail.com,live,153288.00
Selyan,Hoffman,shoffman@outlook.com,live,153288.00
Zelig,Blackburn,zblackburn@live.com,live,153288.00
Ulrika,Baird,ubaird@protonmail.com,live,153288.00
Preston,Bonanni,pbonanni@protonmail.com,live,153288.00
Taddeo,Ranallo,tranallo@outlook.com,live,153288.00
Grete,Harvey,gharvey@protonmail.com,live,153288.00
Cristiana,Stafford,cstafford@yahoo.com,live,153288.00
Bianca,Elliott,belliott@outlook.com,live,153288.00
Italo,Cervelli,icervelli@live.com,live,153288.00
Garance,Mooney,gmooney@live.com,live,153288.00
Chris,Hensley,chensley@gmail.com,live,153288.00
Albert,Martin,amartin@yahoo.com,live,153288.00
Geltrude,Guidone,gguidone@protonmail.com,live,153288.00
Louison,Renaudin,lrenaudin@protonmail.com,live,153288.00
Bobette,Rutledge,brutledge@yandex.com,live,153288.00
Roger,Bolognese,rbolognese@yahoo.com,live,153288.00
Idris,Duprat,iduprat@gmail.com,live,153288.00
Violette,Esser,vesser@protonmail.com,live,153288.00
Elijah,Deville,edeville@yahoo.com,live,153288.00
Dietlind,Buhr,dbuhr@outlook.com,live,153288.00
Claribel,Collard,ccollard@gmail.com,live,153288.00
Tennille,Daniel,tdaniel@yandex.com,live,153288.00
Santuzza,Esposito,sesposito@outlook.com,live,153288.00
Reda,Mascioli,rmascioli@yandex.com,live,153288.00
Marilou,Gimenez,mgimenez@live.com,live,153288.00
Charmain,Marais,cmarais@outlook.com,live,153288.00
Kandra,Moisan,kmoisan@yahoo.com,live,153288.00
Rheba,Tabone,rtabone@live.com,live,153288.00
Katharina,Richards,krichards@gmail.com,live,153288.00
Johann,Carlson,jcarlson@yahoo.com,live,153288.00
Randee,Lehmann,rlehmann@yandex.com,live,153288.00
Emanuel,Dupuy,edupuy@yahoo.com,live,153288.00
Mercury,Gross,mgross@outlook.com,live,153288.00
Lara,Sciacca,lsciacca@live.com,live,153288.00
Alienor,Mays,amays@live.com,live,153288.00
Kordell,Ricciardelli,kricciardelli@yahoo.com,live,153288.00
Konrad,Damone,kdamone@yandex.com,live,153288.00
Alma,Valdez,avaldez@gmail.com,live,153288.00
Susann,Lenzini,slenzini@yandex.com,live,153288.00
